stockcode,description,quantity,revenue,profit,inventorydays,status
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,0.4875,4380.0,Low
22146,,-4,0.0,0.0,-1095.0,Normal
22147,check,-80,0.0,0.0,-54.75,Normal
22147,FELTCRAFT BUTTERFLY HEARTS,5353,7523.29,1880.8225,0.8182327666728937,Normal
22148,EASTER CRAFT 4 CHICKS ,1924,3899.9,974.975,2.2765072765072762,Normal
22149,check,-12,0.0,0.0,-365.0,Normal
22149,damages,-40,0.0,0.0,-109.5,Normal
22149,FELTCRAFT 6 FLOWER FRIENDS,5455,11215.58,2803.895,0.8029330889092576,Normal
22149,,46,0.0,0.0,95.21739130434783,Low
22150,3 STRIPEY MICE FELTCRAFT,3019,5903.94,1475.985,1.4508115269956938,Normal
22151,PLACE SETTING WHITE HEART,14260,6010.33,1502.5825,0.3071528751753156,Normal
22152,check,-179,0.0,0.0,-24.46927374301676,Normal
22152,PLACE SETTING WHITE STAR,2404,1051.82,262.955,1.821963394342762,Normal
22153,ANGEL DECORATION STARS ON DRESS,2583,1104.85,276.2125,1.6957026713124275,Normal
22154,ANGEL DECORATION 3 BUTTONS ,3742,1635.41,408.8525,1.1704970603955105,Normal
22155,STAR DECORATION RUSTIC,2406,1114.29,278.5725,1.8204488778054864,Normal
22155,,-70,0.0,0.0,-62.57142857142858,Normal
22156,HEART DECORATION WITH PEARLS ,2093,2026.62,506.655,2.0926899187768755,Normal
22157,ANGEL DECORATION WITH LACE PADDED,212,180.2,45.05,20.660377358490564,Normal
22157,,31,0.0,0.0,141.29032258064515,Low
22158,3 HEARTS HANGING DECORATION RUSTIC,3438,11873.13,2968.2825,1.2739965095986039,Normal
22158,,-120,0.0,0.0,-36.5,Normal
22161,HEART DECORATION RUSTIC HANGING ,5064,1642.6,410.65,0.8649289099526066,Normal
22162,HEART GARLAND RUSTIC PADDED,255,808.79,202.1975,17.176470588235293,Normal
22162,,-104,0.0,0.0,-42.11538461538462,Normal
22163,HEART STRING MEMO HOLDER HANGING,850,1023.03,255.7575,5.152941176470589,Normal
22163,,-90,0.0,0.0,-48.666666666666664,Normal
22164,STRING OF STARS CARD HOLDER,78,250.22,62.555,56.15384615384615,Low
22164,,-80,0.0,0.0,-54.75,Normal
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",414,3315.45,828.8625,10.579710144927537,Normal
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,204,1590.55,397.6375,21.470588235294116,Normal
22167, OVAL WALL MIRROR DIAMANTE ,233,2351.32,587.83,18.798283261802574,Normal
22168,ORGANISER WOOD ANTIQUE WHITE ,131,1094.8,273.7,33.4351145038168,Normal
22168,,-14,0.0,0.0,-312.85714285714283,Normal
22169,FAMILY ALBUM WHITE PICTURE FRAME,1166,10096.71,2524.1775,3.7564322469982847,Normal
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1049,6858.95,1714.7375,4.175405147759771,Normal
22171,?,142,0.0,0.0,30.84507042253521,Normal
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1699,12869.76,3217.44,2.577987051206592,Normal
22171,,17,0.0,0.0,257.6470588235294,Low
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2345,7493.93,1873.4825,1.8678038379530917,Normal
22173,,-25,0.0,0.0,-175.2,Normal
22174,PHOTO CUBE,3239,6013.43,1503.3575,1.3522692188947205,Normal
22175,PINK OWL SOFT TOY,877,2594.23,648.5575,4.99429874572406,Normal
22176,amazon,1,0.0,0.0,4380.0,Low
22176,BLUE OWL SOFT TOY,511,1533.93,383.4825,8.571428571428571,Normal
22176,check,-28,0.0,0.0,-156.42857142857142,Normal
22178,VICTORIAN GLASS HANGING T-LIGHT,23854,32549.57,8137.3925,0.1836170034375786,Normal
22179,SET 10 LIGHTS NIGHT OWL,453,3263.47,815.8675,9.668874172185431,Normal
22179,SET 10 NIGHT OWL LIGHTS,485,3790.53,947.6325,9.030927835051546,Normal
22180,RETROSPOT LAMP,314,3366.69,841.6725,13.949044585987261,Normal
22180,,-14,0.0,0.0,-312.85714285714283,Normal
22181,check,-92,0.0,0.0,-47.608695652173914,Normal
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,564,477.96,119.49,7.76595744680851,Normal
22182,CAKE STAND VICTORIAN FILIGREE SMALL,371,1415.63,353.9075,11.805929919137466,Normal
22183,CAKE STAND VICTORIAN FILIGREE MED,320,1907.06,476.765,13.6875,Normal
22184,CAKE STAND VICTORIAN FILIGREE LARGE,54,454.86,113.715,81.11111111111111,Low
22184,,-13,0.0,0.0,-336.92307692307696,Normal
22185,SLATE TILE NATURAL HANGING,1510,2291.44,572.86,2.9006622516556293,Normal
22186,RED STAR CARD HOLDER,795,1865.33,466.3325,5.509433962264151,Normal
22187,GREEN CHRISTMAS TREE CARD HOLDER,1262,3230.98,807.745,3.4706814580031695,Normal
22188,BLACK HEART CARD HOLDER,4870,12483.22,3120.805,0.8993839835728953,Normal
22189,CREAM HEART CARD HOLDER,8283,23431.87,5857.9675,0.5287939152480985,Normal
22190,LOCAL CAFE MUG,676,1057.71,264.4275,6.479289940828402,Normal
22191,IVORY DINER WALL CLOCK,1108,9317.45,2329.3625,3.953068592057762,Normal
22192,BLUE DINER WALL CLOCK,933,8020.99,2005.2475,4.694533762057878,Normal
22192,,-9,0.0,0.0,-486.6666666666667,Normal
22193,RED DINER WALL CLOCK,1379,11689.62,2922.405,3.1762146482958666,Normal
22194,BLACK DINER WALL CLOCK,64,608.69,152.1725,68.4375,Low
22194,,-11,0.0,0.0,-398.1818181818182,Normal
22195,LARGE HEART MEASURING SPOONS,1978,3723.96,930.99,2.2143579373104143,Normal
22196,SMALL HEART MEASURING SPOONS,2824,2735.13,683.7825,1.5509915014164306,Normal
22197,POPCORN HOLDER,36334,33969.46,8492.365,0.12054824682115924,Normal
22197,SMALL POPCORN HOLDER,20116,17018.01,4254.5025,0.21773712467687414,Normal
22198,LARGE POPCORN HOLDER ,982,1801.56,450.39,4.460285132382892,Normal
22198,,-109,0.0,0.0,-40.183486238532105,Normal
22199,FRYING PAN RED POLKADOT ,1,4.25,1.0625,4380.0,Low
22199,FRYING PAN RED RETROSPOT,459,1889.59,472.3975,9.542483660130719,Normal
22200,FRYING PAN PINK POLKADOT,394,1794.48,448.62,11.116751269035532,Normal
22201,FRYING PAN BLUE POLKADOT,192,708.3,177.075,22.8125,Normal
22202,MILK PAN PINK POLKADOT,65,315.6,78.9,67.38461538461539,Low
22202,,-114,0.0,0.0,-38.421052631578945,Normal
22203,MILK PAN RED RETROSPOT,402,1475.63,368.9075,10.895522388059701,Normal
22204,MILK PAN BLUE POLKADOT,192,650.79,162.6975,22.8125,Normal
22206,"MUG , DOTCOMGIFTSHOP.COM ",5,4.17,1.0425,876.0,Low
22207,FRYING PAN UNION FLAG,1259,5555.59,1388.8975,3.478951548848292,Normal
22208,WOOD STAMP SET THANK YOU,1502,1564.86,391.215,2.9161118508655126,Normal
22209,WOOD STAMP SET HAPPY BIRTHDAY,938,958.41,239.6025,4.6695095948827285,Normal
22210,WOOD STAMP SET BEST WISHES,1019,959.7,239.925,4.298331697742885,Normal
22211,WOOD STAMP SET FLOWERS,961,1054.44,263.61,4.557752341311135,Normal
22212,FOUR HOOK  WHITE LOVEBIRDS,1591,3663.14,915.785,2.752985543683218,Normal
22214,CANDLE PLATE LACE WHITE,193,416.6,104.15,22.694300518134717,Normal
22215,CAKE STAND WHITE TWO TIER LACE,341,2454.39,613.5975,12.84457478005865,Normal
22216,T-LIGHT HOLDER WHITE LACE,588,512.93,128.2325,7.448979591836735,Normal
22217,damages?,-155,0.0,0.0,-28.258064516129032,Normal
22217,T-LIGHT HOLDER HANGING LACE,800,782.51,195.6275,5.475,Normal
22218,CAKE STAND LACE WHITE,1,4.25,1.0625,4380.0,Low
22218,,2,0.0,0.0,2190.0,Low
22219,???lost,-550,0.0,0.0,-7.963636363636363,Normal
22219,LOVEBIRD HANGING DECORATION WHITE ,4112,4015.88,1003.97,1.0651750972762646,Normal
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,210,1657.7,414.425,20.857142857142858,Normal
22221,CAKE STAND LOVEBIRD 2 TIER PINK,129,1084.64,271.16,33.95348837209303,Normal
22222,CAKE PLATE LOVEBIRD WHITE,1057,3880.2,970.05,4.143803216650899,Normal
22223,CAKE PLATE LOVEBIRD PINK,441,1821.61,455.4025,9.931972789115646,Normal
22224,WHITE LOVEBIRD LANTERN,831,2755.21,688.8025,5.270758122743683,Normal
22227,HANGING HEART MIRROR DECORATION ,2339,1706.77,426.6925,1.8725951261222746,Normal
22228,BUNNY WOODEN PAINTED WITH BIRD ,999,776.93,194.2325,4.384384384384385,Normal
22229,BUNNY WOODEN PAINTED WITH FLOWER ,566,430.76,107.69,7.7385159010600715,Normal
22230,JIGSAW TREE WITH WATERING CAN,1032,467.39,116.8475,4.244186046511628,Normal
22231,JIGSAW TREE WITH BIRDHOUSE,931,934.71,233.6775,4.704618689581096,Normal
22232,JIGSAW TOADSTOOLS 3 PIECE,626,549.74,137.435,6.996805111821087,Normal
22233,JIGSAW RABBIT AND BIRDHOUSE,576,574.14,143.535,7.604166666666667,Normal
22236,CAKE STAND 3 TIER MAGIC GARDEN,263,3115.65,778.9125,16.65399239543726,Normal
22241,GARLAND WOODEN HAPPY EASTER,1974,2637.12,659.28,2.2188449848024314,Normal
22242,5 HOOK HANGER MAGIC TOADSTOOL,606,938.28,234.57,7.227722772277228,Normal
22242,,-43,0.0,0.0,-101.86046511627906,Normal
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,3088,4735.14,1183.785,1.4183937823834198,Normal
22244,3 HOOK HANGER MAGIC GARDEN,1689,3248.91,812.2275,2.5932504440497337,Normal
22244,,-9,0.0,0.0,-486.6666666666667,Normal
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1258,1066.6,266.65,3.481717011128776,Normal
22245,,-147,0.0,0.0,-29.79591836734694,Normal
22246,"GARLAND, MAGIC GARDEN 1.8M",12,23.4,5.85,365.0,Low
22246,MAGIC GARDEN FELT GARLAND ,407,915.97,228.9925,10.761670761670763,Normal
22247,BUNNY DECORATION MAGIC GARDEN,670,593.14,148.285,6.537313432835821,Normal
22248,DECORATION  PINK CHICK MAGIC GARDEN,574,508.94,127.235,7.630662020905923,Normal
22249,DECORATION WHITE CHICK MAGIC GARDEN,940,823.06,205.765,4.659574468085107,Normal
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,817,729.25,182.3125,5.36107711138311,Normal
22251,BIRDHOUSE DECORATION MAGIC GARDEN,698,871.99,217.9975,6.275071633237823,Normal
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,644,762.82,190.705,6.801242236024845,Normal
22254,FELT TOADSTOOL LARGE,657,836.8,209.2,6.666666666666667,Normal
22255,FELT TOADSTOOL  SMALL,629,602.63,150.6575,6.963434022257552,Normal
22256,FELT FARM ANIMAL CHICKEN,291,394.15,98.5375,15.051546391752577,Normal
22257,FELT FARM ANIMAL SHEEP,373,280.42,70.105,11.742627345844504,Normal
22258,FELT FARM ANIMAL RABBIT,905,735.14,183.785,4.8397790055248615,Normal
22259,FELT FARM ANIMAL HEN,481,332.84,83.21,9.106029106029105,Normal
22260,FELT EGG COSY BLUE RABBIT ,548,574.04,143.51,7.992700729927008,Normal
22261,FELT EGG COSY WHITE RABBIT ,581,546.41,136.6025,7.538726333907057,Normal
22262,FELT EGG COSY CHICKEN,1022,949.61,237.4025,4.285714285714286,Normal
22263,FELT EGG COSY LADYBIRD ,278,164.48,41.12,15.755395683453237,Normal
22264,FELT FARM ANIMAL WHITE BUNNY ,1563,738.68,184.67,2.802303262955854,Normal
22265,EASTER DECORATION NATURAL CHICK,540,366.15,91.5375,8.11111111111111,Normal
22266,EASTER DECORATION HANGING BUNNY,1888,596.5,149.125,2.319915254237288,Normal
22267,EASTER DECORATION EGG BUNNY ,836,673.17,168.2925,5.239234449760765,Normal
22268,check,-10,0.0,0.0,-438.0,Normal
22268,DECORATION SITTING BUNNY,1441,342.13,85.5325,3.039555863983345,Normal
22268,EASTER DECORATION SITTING BUNNY,530,453.65,113.4125,8.264150943396228,Normal
22268,,-86,0.0,0.0,-50.93023255813953,Normal
22269,EGG CUP NATURAL CHICKEN,933,622.74,155.685,4.694533762057878,Normal
22270,HAPPY EASTER HANGING DECORATION,237,920.06,230.015,18.481012658227847,Normal
22271,check,-43,0.0,0.0,-101.86046511627906,Normal
22271,FELTCRAFT DOLL ROSIE,1698,4998.5,1249.625,2.579505300353357,Normal
22272,Damaged,-15,0.0,0.0,-292.0,Normal
22272,FELTCRAFT DOLL MARIA,195,561.97,140.4925,22.46153846153846,Normal
22272,,-95,0.0,0.0,-46.10526315789473,Normal
22273,FELTCRAFT DOLL MOLLY,3067,8503.69,2125.9225,1.4281056406912291,Normal
22274,FELTCRAFT DOLL EMILY,1340,3953.48,988.37,3.2686567164179103,Normal
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,69,527.85,131.9625,63.47826086956522,Low
22276,WASH BAG VINTAGE ROSE PAISLEY,283,821.01,205.2525,15.477031802120143,Normal
22276,,-59,0.0,0.0,-74.23728813559322,Normal
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,417,897.74,224.435,10.503597122302159,Normal
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,400,2679.6,669.9,10.95,Normal
22279,POCKET BAG BLUE PAISLEY RED SPOT,833,1005.9,251.475,5.258103241296518,Normal
22280,POCKET BAG PINK PAISELY BROWN SPOT,469,510.84,127.71,9.339019189765457,Normal
22281,EASTER TREE YELLOW BIRDS,132,935.39,233.8475,33.18181818181818,Normal
22282,12 EGG HOUSE PAINTED WOOD,148,2365.77,591.4425,29.594594594594593,Normal
22283,6 EGG HOUSE PAINTED WOOD,297,2710.53,677.6325,14.747474747474747,Normal
22284,HEN HOUSE DECORATION,941,1620.17,405.0425,4.65462274176408,Normal
22285,"DECORATION HEN ON NEST, HANGING",42,74.43,18.6075,104.28571428571429,Low
22285,HANGING HEN ON NEST DECORATION,829,1420.47,355.1175,5.283474065138722,Normal
22286,check,-47,0.0,0.0,-93.19148936170212,Normal
22286,"DECORATION , WOBBLY RABBIT , METAL ",319,560.93,140.2325,13.730407523510973,Normal
22286,DECORATION WOBBLY RABBIT METAL ,830,504.46,126.115,5.27710843373494,Normal
22287,"DECORATION , WOBBLY CHICKEN, METAL ",236,401.02,100.255,18.559322033898304,Normal
22287,DECORATION WOBBLY CHICKEN,548,314.46,78.615,7.992700729927008,Normal
22288,HANGING METAL RABBIT DECORATION,475,618.2,154.55,9.221052631578948,Normal
22289,HANGING METAL CHICKEN DECORATION,152,198.52,49.63,28.815789473684212,Normal
22291,HANGING CHICK CREAM DECORATION,1293,1911.82,477.955,3.3874709976798143,Normal
22292,HANGING CHICK  YELLOW DECORATION,1139,1608.86,402.215,3.845478489903424,Normal
22293,HANGING CHICK GREEN DECORATION,907,1341.67,335.4175,4.829106945975744,Normal
22294,HEART FILIGREE DOVE  SMALL,5500,6858.83,1714.7075,0.7963636363636364,Normal
22295,HEART FILIGREE DOVE LARGE,2795,4623.87,1155.9675,1.5670840787119857,Normal
22296,HEART IVORY TRELLIS LARGE,3155,5272.47,1318.1175,1.3882725832012677,Normal
22297,HEART IVORY TRELLIS SMALL,4171,5468.66,1367.165,1.0501078877966914,Normal
22299,PIG KEYRING WITH LIGHT & SOUND ,1327,1321.97,330.4925,3.300678221552374,Normal
22300,COFFEE MUG DOG + BALL DESIGN,1530,3411.76,852.94,2.8627450980392157,Normal
22301,COFFEE MUG CAT + BIRD DESIGN,2204,4972.43,1243.1075,1.987295825771325,Normal
22302,COFFEE MUG PEARS  DESIGN,2318,5106.24,1276.56,1.8895599654874893,Normal
22303,COFFEE MUG APPLES DESIGN,2748,6182.4,1545.6,1.5938864628820961,Normal
22304,COFFEE MUG BLUE PAISLEY DESIGN,767,1368.18,342.045,5.710560625814863,Normal
22305,COFFEE MUG PINK PAISLEY DESIGN,692,1602.03,400.5075,6.329479768786127,Normal
22306,SILVER MUG BONE CHINA TREE OF LIFE,1157,1399.87,349.9675,3.7856525496974935,Normal
22307,GOLD MUG BONE CHINA TREE OF LIFE,731,923.74,230.935,5.991792065663475,Normal
22308,TEA COSY BLUE STRIPE,250,877.38,219.345,17.52,Normal
22309,TEA COSY RED  STRIPE,370,1093.6,273.4,11.837837837837839,Normal
22310,IVORY KNITTED MUG COSY ,668,1296.23,324.0575,6.5568862275449105,Normal
22311,OFFICE MUG WARMER BLACK+SILVER ,1130,3397.86,849.465,3.8761061946902653,Normal
22312,OFFICE MUG WARMER POLKADOT,623,1885.59,471.3975,7.030497592295346,Normal
22313,OFFICE MUG WARMER PINK,315,927.33,231.8325,13.904761904761905,Normal
22314,OFFICE MUG WARMER CHOC+BLUE,569,1756.17,439.0425,7.697715289982425,Normal
22315,200 RED + WHITE BENDY STRAWS,918,1221.43,305.3575,4.771241830065359,Normal
22316,200 BENDY SKULL STRAWS,660,742.37,185.5925,6.636363636363637,Normal
22317,FIVE CATS HANGING DECORATION,287,882.62,220.655,15.261324041811847,Normal
22318,FIVE HEART HANGING DECORATION,455,1520.97,380.2425,9.626373626373628,Normal
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,1340,583.96,145.99,3.2686567164179103,Normal
22320,BIRDS MOBILE VINTAGE DESIGN,180,1093.72,273.43,24.333333333333332,Normal
22321,BIRD DECORATION RED RETROSPOT,916,880.48,220.12,4.781659388646289,Normal
22322,BIRD DECORATION GREEN POLKADOT,808,737.61,184.4025,5.420792079207922,Normal
22323,PINK POLKADOT KIDS BAG,1,1.95,0.4875,4380.0,Low
22323,,1,0.0,0.0,4380.0,Low
22324,BLUE POLKADOT KIDS BAG,286,688.3,172.075,15.314685314685315,Normal
22325,MOBILE VINTAGE HEARTS ,237,1086.95,271.7375,18.481012658227847,Normal
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8519,24317.67,6079.4175,0.5141448526822398,Normal
22327,ROUND SNACK BOXES SET OF 4 SKULLS,1165,4292.45,1073.1125,3.759656652360515,Normal
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6189,17438.87,4359.7175,0.7077072224915172,Normal
22329,ROUND CONTAINER SET OF 5 RETROSPOT,1587,2635.49,658.8725,2.7599243856332705,Normal
22331,WOODLAND PARTY BAG + STICKER SET,1838,2971.84,742.96,2.383025027203482,Normal
22332,SKULLS PARTY BAG + STICKER SET,1009,1640.05,410.0125,4.340931615460852,Normal
22333,RETROSPOT PARTY BAG + STICKER SET,4412,6911.94,1727.985,0.9927470534904804,Normal
22334,DINOSAUR PARTY BAG + STICKER SET,707,1160.71,290.1775,6.1951909476661955,Normal
22335,HEART DECORATION PAINTED ZINC ,2386,1672.79,418.1975,1.8357082984073763,Normal
22336,damaged,-71,0.0,0.0,-61.69014084507042,Normal
22336,DOVE DECORATION PAINTED ZINC ,2360,739.46,184.865,1.8559322033898307,Normal
22336,,-114,0.0,0.0,-38.421052631578945,Normal
22337,ANGEL DECORATION PAINTED ZINC ,912,574.54,143.635,4.802631578947368,Normal
22338,STAR DECORATION PAINTED ZINC ,4662,1222.4,305.6,0.9395109395109396,Normal
22339,check,-60,0.0,0.0,-73.0,Normal
22339,CHRISTMAS TREE PAINTED ZINC ,2437,666.38,166.595,1.797291752154288,Normal
22340,NOEL GARLAND PAINTED ZINC ,1399,774.88,193.72,3.130807719799857,Normal
22341,LOVE GARLAND PAINTED ZINC ,453,827.63,206.9075,9.668874172185431,Normal
22342,HOME GARLAND PAINTED ZINC ,961,1071.38,267.845,4.557752341311135,Normal
22343,PARTY PIZZA DISH RED RETROSPOT,1959,858.6,214.65,2.23583460949464,Normal
22344,PARTY PIZZA DISH PINK POLKADOT,1228,460.38,115.095,3.5667752442996745,Normal
22345,PARTY PIZZA DISH BLUE POLKADOT,1102,384.32,96.08,3.97459165154265,Normal
22346,PARTY PIZZA DISH GREEN POLKADOT,1037,381.66,95.415,4.223722275795564,Normal
22348,TEA BAG PLATE RED RETROSPOT,4074,3574.79,893.6975,1.0751104565537555,Normal
22349,DOG BOWL CHASING BALL DESIGN,1355,5340.27,1335.0675,3.232472324723247,Normal
22350,ILLUSTRATED CAT BOWL ,1412,3819.57,954.8925,3.101983002832861,Normal
22351,DOTCOMGIFTSHOP TEA TOWEL,13,23.09,5.7725,336.92307692307696,Low
22351,Given away,-1400,0.0,0.0,-3.1285714285714286,Normal
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,3077,7832.92,1958.23,1.4234644133896652,Normal
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,62,155.55,38.8875,70.64516129032258,Low
22353,,32,0.0,0.0,136.875,Low
22354,RETROSPOT PADDED SEAT CUSHION,749,2857.59,714.3975,5.847797062750334,Normal
22355,CHARLOTTE BAG SUKI DESIGN,18002,29164.36,7291.09,0.24330629930007774,Normal
22355,test,1,0.0,0.0,4380.0,Low
22356,CHARLOTTE BAG PINK POLKADOT,9455,11218.76,2804.69,0.46324695928080384,Normal
22357,KINGS CHOICE BISCUIT TIN,464,2098.54,524.635,9.439655172413794,Normal
22358,KINGS CHOICE TEA CADDY ,692,2533.52,633.38,6.329479768786127,Normal
22359,GLASS JAR KINGS CHOICE,186,599.87,149.9675,23.548387096774192,Normal
22360,GLASS JAR ENGLISH CONFECTIONERY,914,2925.57,731.3925,4.792122538293216,Normal
22361,GLASS JAR DAISY FRESH COTTON WOOL,721,2563.23,640.8075,6.074895977808599,Normal
22362,GLASS JAR PEACOCK BATH SALTS,381,1232.09,308.0225,11.496062992125983,Normal
22363,GLASS JAR MARMALADE ,354,1048.25,262.0625,12.372881355932204,Normal
22364,GLASS JAR DIGESTIVE BISCUITS,557,1827.72,456.93,7.863554757630162,Normal
22365,DOORMAT RESPECTABLE HOUSE,791,5746.38,1436.595,5.537294563843236,Normal
22366,DOORMAT AIRMAIL ,776,5840.83,1460.2075,5.644329896907216,Normal
22367,CHILDRENS APRON SPACEBOY DESIGN,3722,7450.08,1862.52,1.1767866738312733,Normal
22371,AIRLINE BAG VINTAGE TOKYO 78,1086,5035.79,1258.9475,4.033149171270718,Normal
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,281,1285.24,321.31,15.587188612099643,Normal
22374,AIRLINE BAG VINTAGE JET SET RED,551,2423.27,605.8175,7.9491833030853,Normal
22375,AIRLINE BAG VINTAGE JET SET BROWN,354,1639.29,409.8225,12.372881355932204,Normal
22376,AIRLINE BAG VINTAGE JET SET WHITE,255,1141.7,285.425,17.176470588235293,Normal
22377,BOTTLE BAG RETROSPOT ,1321,2153.08,538.27,3.315669947009841,Normal
22378,WALL TIDY RETROSPOT ,2287,3646.97,911.7425,1.9151727153476168,Normal
22379,RECYCLING BAG RETROSPOT ,6846,15514.34,3878.585,0.6397896581945661,Normal
22380,TOY TIDY SPACEBOY  ,1280,2746.16,686.54,3.421875,Normal
22381,TOY TIDY PINK POLKADOT,3414,7381.49,1845.3725,1.2829525483304043,Normal
22382,LUNCH BAG SPACEBOY DESIGN ,10305,17850.01,4462.5025,0.42503639010189226,Normal
22383,LUNCH BAG SUKI  DESIGN ,2216,3785.46,946.365,1.976534296028881,Normal
22383,LUNCH BAG SUKI DESIGN ,10189,18533.18,4633.295,0.4298753557758367,Normal
22384,LUNCH BAG PINK POLKADOT,10363,17198.99,4299.7475,0.4226575316028177,Normal
22385,JUMBO BAG SPACEBOY DESIGN,8566,16866.72,4216.68,0.5113238384310063,Normal
22386,JUMBO BAG PINK POLKADOT,21009,41619.66,10404.915,0.2084820791089533,Normal
22389,PAPERWEIGHT SAVE THE PLANET,238,431.55,107.8875,18.403361344537817,Normal
22390,PAPERWEIGHT CHILDHOOD MEMORIES,268,445.44,111.36,16.343283582089555,Normal
22391,PAPERWEIGHT HOME SWEET HOME,158,245.58,61.395,27.721518987341774,Normal
22393,PAPERWEIGHT VINTAGE COLLAGE,508,731.78,182.945,8.622047244094487,Normal
22394,PAPERWEIGHT KINGS CHOICE ,162,215.38,53.845,27.037037037037038,Normal
22395,PAPERWEIGHT VINTAGE PAISLEY,152,220.04,55.01,28.815789473684212,Normal
22396,MAGNETS PACK OF 4 RETRO PHOTO,1220,619.43,154.8575,3.5901639344262293,Normal
22398,MAGNETS PACK OF 4 SWALLOWS,2492,1484.51,371.1275,1.7576243980738364,Normal
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1128,1317.08,329.27,3.882978723404255,Normal
22400,MAGNETS PACK OF 4 HOME SWEET HOME,1399,731.43,182.8575,3.130807719799857,Normal
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,1711,1020.58,255.145,2.5599064874342488,Normal
22403,MAGNETS PACK OF 4 VINTAGE LABELS ,1311,674.67,168.6675,3.3409610983981692,Normal
22405,MONEY BOX POCKET MONEY DESIGN,373,416.8,104.2,11.742627345844504,Normal
22406,MONEY BOX KINGS CHOICE DESIGN,345,402.21,100.5525,12.695652173913043,Normal
22407,MONEY BOX FIRST ADE DESIGN,51,63.75,15.9375,85.88235294117646,Low
22407,MONEY BOX FIRST AID DESIGN,44,36.78,9.195,99.54545454545455,Low
22408,MONEY BOX CONFECTIONERY DESIGN,146,163.69,40.9225,30.0,Normal
22409,MONEY BOX BISCUITS DESIGN,227,298.47,74.6175,19.295154185022025,Normal
22409,,-20,0.0,0.0,-219.0,Normal
22410,MONEY BOX HOUSEKEEPING DESIGN,237,247.42,61.855,18.481012658227847,Normal
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12248,28012.48,7003.12,0.35760940561724364,Normal
22412,METAL SIGN NEIGHBOURHOOD WITCH ,912,1933.95,483.4875,4.802631578947368,Normal
22412,,-37,0.0,0.0,-118.37837837837837,Normal
22413,METAL SIGN TAKE IT OR LEAVE IT ,3759,11051.69,2762.9225,1.1652035115722266,Normal
22414,DOORMAT NEIGHBOURHOOD WITCH ,280,2022.19,505.5475,15.642857142857144,Normal
22415,WHITE TISSUE REAM,19,151.05,37.7625,230.5263157894737,Low
22415,,-31,0.0,0.0,-141.29032258064515,Normal
22416,SET OF 36 DOILIES SPACEBOY DESIGN ,817,1135.4,283.85,5.36107711138311,Normal
22416,SET OF 36 SPACEBOY PAPER DOILIES,45,66.72,16.68,97.33333333333333,Low
22417,PACK OF 60 SPACEBOY CAKE CASES,8380,4541.24,1135.31,0.522673031026253,Normal
22418,10 COLOUR SPACEBOY PEN,6392,5439.25,1359.8125,0.6852315394242804,Normal
22419,LIPSTICK PEN RED,3341,1674.36,418.59,1.3109847351092487,Normal
22420,LIPSTICK PEN BABY PINK,1334,611.72,152.93,3.28335832083958,Normal
22421,LIPSTICK PEN FUSCHIA,2596,1346.68,336.67,1.687211093990755,Normal
22422,TOOTHPASTE TUBE PEN,1274,776.75,194.1875,3.4379905808477234,Normal
22423,damages,-40,0.0,0.0,-109.5,Normal
22423,faulty,-13,0.0,0.0,-336.92307692307696,Normal
22423,REGENCY CAKESTAND 3 TIER,13033,164762.19,41190.5475,0.33606997621422546,Normal
22424,ENAMEL BREAD BIN CREAM,847,12041.23,3010.3075,5.1711924439197166,Normal
22425,ENAMEL COLANDER CREAM,455,2316.42,579.105,9.626373626373628,Normal
22426,check,-15,0.0,0.0,-292.0,Normal
22426,ENAMEL WASH BOWL CREAM,734,2813.96,703.49,5.967302452316076,Normal
22427,damages,-29,0.0,0.0,-151.0344827586207,Normal
22427,ENAMEL FLOWER JUG CREAM,2071,12427.16,3106.79,2.114920328343795,Normal
22428,ENAMEL FIRE BUCKET CREAM,250,1833.91,458.4775,17.52,Normal
22429,ENAMEL MEASURING JUG CREAM,1239,5409.43,1352.3575,3.5351089588377724,Normal
